Name;Vorname;PLZ;Straße;Hausnummer;Ort;n;VK ohne Ust;VK mit Ust;VK Gesamt;Stückpreis mit Ust;Stückpreis ohne Ust;Ust. % Satz;ZS Produkt;Zs ohne Ust;Gesamt Ust. Betrag;Betrag;Bestelldatum;Lieferdatum;KundenNr
Machts;Iris;72584;Alpenrosenweg;14;Hülben;2;2,99 €;3,56 €;3,56 €;3,99 €;3,35 €;19%;7,98 €;6,71 €;1,27 €;11,54 €;08.05.2018;10.05.2018;000128
Lachnitt;Bernd;71737;Anna-Seghers-Straße;8;Kirchberg an der Murr;1; -   € ; -   € ; -   € ;199,99 €;168,06 €;19%;199,99 €;168,06 €;31,93 €;199,99 €;09.05.2018;11.05.2018;000129
Pachner;Hakan;72663;Am Adlergestell;64;Großbettlingen;2; -   € ; -   € ; -   € ;60,99 €;51,25 €;19%;121,98 €;102,50 €;19,48 €;121,98 €;10.05.2018;12.05.2018;000130
Abazi;Theresa;68794;Hoffmannstraße;2;Oberhausen-Rheinhausen;2; -   € ; -   € ; -   € ;4,69 €;3,94 €;19%;9,38 €;7,88 €;1,50 €;9,38 €;11.05.2018;13.05.2018;000131
Haberbosch;Tabia;69434;Kiehnwerderallee;45;Heddesbach;1;2,33 €;2,77 €;2,77 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;6,76 €;12.05.2018;14.05.2018;000132
Haasz;Sarah;69190;Wilhelm-Ostwald-Straße;29;Walldorf (Baden);2; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;39,98 €;33,60 €;6,38 €;39,98 €;13.05.2018;15.05.2018;000133
Ibisevic;Zuri;71287;Florian-Geyer-Straße;6;Weissach;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;14.05.2018;16.05.2018;000134
Igelbrink;Raphael;72144;KGA Am Teltowkanal III;1;Dußlingen;2; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;39,98 €;33,60 €;6,38 €;39,98 €;15.05.2018;17.05.2018;000135
Abbassi;Carla;69151;Bärdorfer Zeile;51;Neckargemünd;1;2,00 €;2,38 €;2,38 €;32,99 €;27,72 €;19%;32,99 €;27,72 €;5,27 €;35,37 €;16.05.2018;18.05.2018;000136
Aben;Aamu;71131;Radickestraße;25;Jettingen;1; -   € ; -   € ; -   € ;3,59 €;3,02 €;19%;3,59 €;3,02 €;0,57 €;3,59 €;17.05.2018;19.05.2018;000137
Packeiser;Jules;72827;Hallberger Zeile;6;Wannweil;1;2,99 €;3,56 €;3,56 €;99,99 €;84,03 €;19%;99,99 €;84,03 €;15,96 €;103,55 €;18.05.2018;20.05.2018;000138
Jäger;Frieda;72535;Bärdorfer Zeile;45;Heroldstatt;1;1,00 €;1,19 €;1,19 €;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;21,18 €;19.05.2018;21.05.2018;000139
Bacha;Julian;72160;Heidekampweg;2;Horb am Neckar;2;1,69 €;2,01 €;2,01 €;19,99 €;16,80 €;19%;39,98 €;33,60 €;6,38 €;41,99 €;20.05.2018;22.05.2018;000140
Kabisch;Ava;68766;Hollstraße;5;Hockenheim;2; -   € ; -   € ; -   € ;99,99 €;84,03 €;19%;199,98 €;168,05 €;31,93 €;199,98 €;21.05.2018;23.05.2018;000141
Ibenthal;Xani;71159;Hackenbergstraße;26;Mötzingen;1;2,00 €;2,38 €;2,38 €;5,99 €;5,03 €;19%;5,99 €;5,03 €;0,96 €;8,37 €;22.05.2018;24.05.2018;000142
Bachhofer;Peter;72186;Arndtstraße;36;Empfingen;1; -   € ; -   € ; -   € ;169,99 €;142,85 €;19%;169,99 €;142,85 €;27,14 €;169,99 €;23.05.2018;25.05.2018;000143
Saadi;Meteo;72519;Bernstadter Weg;24;Veringenstadt;1;2,40 €;2,86 €;2,86 €;69,99 €;58,82 €;19%;69,99 €;58,82 €;11,17 €;72,85 €;24.05.2018;26.05.2018;000144
Kablitz;Arzu;68794;Nipkowstraße;9;Oberhausen-Rheinhausen;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;25.05.2018;27.05.2018;000145
Haarseim;Radost;68766;Rudower Chaussee;6;Hockenheim;1;2,56 €;3,05 €;3,05 €;4,69 €;3,94 €;19%;4,69 €;3,94 €;0,75 €;7,74 €;26.05.2018;28.05.2018;000146
Dabrowski;Helena;68753;Gondeker Straße;3;Waghäusel;2; -   € ; -   € ; -   € ;99,99 €;84,03 €;19%;199,98 €;168,05 €;31,93 €;199,98 €;27.05.2018;29.05.2018;000147
Macherius;Gabrielle;72511;Barbara-McClintock-Straße;9;Bingen bei Sigmaringen;1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;28.05.2018;30.05.2018;000148
Gabcke;Jakob;72296;Berberitzenweg;25;Schopfloch (Schwarzwald);1; -   € ; -   € ; -   € ;6,99 €;5,87 €;19%;6,99 €;5,87 €;1,12 €;6,99 €;29.05.2018;31.05.2018;000149
Paap;Falko;72525;Wassermannstraße;26;Münsingen (Württemberg);1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;30.05.2018;01.06.2018;000150
Iannelli;Violeta;71116;Hänselstraße;9;Gärtringen;1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;31.05.2018;02.06.2018;000151
Quabeck;Luke;72488;Genossenschaftsstraße;55;Sigmaringen;1;1,99 €;2,37 €;2,37 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;6,36 €;01.06.2018;03.06.2018;000152
Mabrouk;Dewis;72299;Schneckenburgerstraße;6;Wörnersberg;1;3,99 €;4,75 €;4,75 €;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;24,74 €;02.06.2018;04.06.2018;000153
Babl;Niklas;71737;Baumschulenstraße;7;Kirchberg an der Murr;1; -   € ; -   € ; -   € ;6,39 €;5,37 €;19%;6,39 €;5,37 €;1,02 €;6,39 €;03.06.2018;05.06.2018;000154
Ebelt;Liz;71296;Glienicker Weg;5;Heimsheim;1;3,00 €;3,57 €;3,57 €;32,99 €;27,72 €;19%;32,99 €;27,72 €;5,27 €;36,56 €;04.06.2018;06.06.2018;000155
Iborg;Matti;71299;Hackenbergstraße;3;Wimsheim;1;1,99 €;2,37 €;2,37 €;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;52,36 €;05.06.2018;07.06.2018;000156
Daehre;Jean;69257;Gellertstraße;8;Wiesenbach (Baden);1; -   € ; -   € ; -   € ;6,39 €;5,37 €;19%;6,39 €;5,37 €;1,02 €;6,39 €;06.06.2018;08.06.2018;000157
Bachman;Asis;72250;Husstraße;26;Freudenstadt;3;1,99 €;2,37 €;2,37 €;49,99 €;42,01 €;19%;149,97 €;126,03 €;23,94 €;152,34 €;07.06.2018;09.06.2018;000158
Abaci;Amy;68549;Arndtstraße;25;Ilvesheim;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;08.06.2018;10.06.2018;000159
Iannello;Victoria;71120;Königsheideweg;58;Grafenau (Württemberg);1; -   € ; -   € ; -   € ;15,99 €;13,44 €;19%;15,99 €;13,44 €;2,55 €;15,99 €;09.06.2018;11.06.2018;000160
Bachinger;Liam;72202;Bärdorfer Zeile;25;Nagold;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;10.06.2018;12.06.2018;000161
Habeck;Sarah;69226;Agavensteig;48;Nußloch;2; -   € ; -   € ; -   € ;59,99 €;50,41 €;19%;119,98 €;100,82 €;19,16 €;119,98 €;11.06.2018;13.06.2018;000162
Ebenau;Mareen;71299;Helbigstraße;4;Wimsheim;1;3,99 €;4,75 €;4,75 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;7,74 €;12.06.2018;14.06.2018;000163
Ebisch;Hanno;72141;Wilhelm-Ostwald-Straße;9;Walddorfhäslach;2;1,99 €;2,37 €;2,37 €;69,99 €;58,82 €;19%;139,98 €;117,63 €;22,35 €;142,35 €;13.06.2018;15.06.2018;000164
Abeling;Adriana;71106;Köpenicker Straße;1;Magstadt;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;14.06.2018;16.06.2018;000165
Kaba;Augusta;72663;Anna-Seghers-Straße;25;Großbettlingen;1;2,99 €;3,56 €;3,56 €;12,99 €;10,92 €;19%;12,99 €;10,92 €;2,07 €;16,55 €;15.06.2018;17.06.2018;000166
Calakovic;Felicitas;72664;Weerthstraße;47;Kohlberg (Württemberg);1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;16.06.2018;18.06.2018;000167
Maaßen;Dag;72226;Moissistraße;1;Simmersfeld;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;17.06.2018;19.06.2018;000168
Jähn;Eva;72581;Hackenbergstraße;1;Dettingen an der Erms;2; -   € ; -   € ; -   € ;29,99 €;25,20 €;19%;59,98 €;50,40 €;9,58 €;59,98 €;18.06.2018;20.06.2018;000169
Gaebler;Lutz;72531;Bernstadter Weg;9;Hohenstein (Württemberg);3;1,99 €;2,37 €;2,37 €;6,39 €;5,37 €;19%;19,17 €;16,11 €;3,06 €;21,54 €;19.06.2018;21.06.2018;000170
Babaei;Dorothee;71563;Pfingstberggasse;9;Affalterbach;2;3,00 €;3,57 €;3,57 €;19,99 €;16,80 €;19%;39,98 €;33,60 €;6,38 €;43,55 €;20.06.2018;22.06.2018;000171
Gabauer;Igor;72224;Heidemühler Weg;26;Ebhausen;1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;21.06.2018;23.06.2018;000172
Eberstein;Geoffrey;71720;Rudower Chaussee;3;Oberstenfeld;1;6,43 €;7,65 €;7,65 €;99,99 €;84,03 €;19%;99,99 €;84,03 €;15,96 €;107,64 €;22.06.2018;24.06.2018;000173
Cada;Cem;72505;Glienicker Weg;29;Krauchenwies;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;23.06.2018;25.06.2018;000174
Oberdick;Kiara;72827;Lohnauer Steig;8;Wannweil;2; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;99,98 €;84,02 €;15,96 €;99,98 €;24.06.2018;26.06.2018;000175
Gach;Kevin;72469;Husstraße;9;Meßstetten;2; -   € ; -   € ; -   € ;69,99 €;58,82 €;19%;139,98 €;117,63 €;22,35 €;139,98 €;25.06.2018;27.06.2018;000176
Gabriela;Jeremy;72369;Arndtstraße;9;Zimmern unter der Burg;1;1,78 €;2,12 €;2,12 €;69,99 €;58,82 €;19%;69,99 €;58,82 €;11,17 €;72,11 €;26.06.2018;28.06.2018;000177
Maak;Cainan;72181;Eigenheimgasse;47;Starzach;1;1,35 €;1,61 €;1,61 €;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;21,60 €;27.06.2018;29.06.2018;000178
Oberhoff;Lotta;72362;Gemeinschaftsstraße;1;Nusplingen;1;3,00 €;3,57 €;3,57 €;4,69 €;3,94 €;19%;4,69 €;3,94 €;0,75 €;8,26 €;28.06.2018;30.06.2018;000179
Jacobi;Walter;72477;Bodelschwinghstraße;26;Schwenningen (Heuberg);1;2,00 €;2,38 €;2,38 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;6,37 €;29.06.2018;01.07.2018;000180
Bachelier;Henry;72175;Hänselstraße;95;Dornhan;1;1,54 €;1,83 €;1,83 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;5,82 €;30.06.2018;02.07.2018;000181
Icen;Neo;71554;Friedlander Straße;9;Weissach im Tal;1;6,43 €;7,65 €;7,65 €;199,99 €;168,06 €;19%;199,99 €;168,06 €;31,93 €;207,64 €;01.07.2018;03.07.2018;000182
Abels;Arielle;71120;Nipkowstraße;36;Grafenau (Württemberg);1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;02.07.2018;04.07.2018;000183
Idris;Pamir;71729;Moissistraße;1;Erdmannhausen;1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;03.07.2018;05.07.2018;000184
Kadasch;Chaya;69257;Rudower Chaussee;45;Wiesenbach (Baden);1; -   € ; -   € ; -   € ;12,99 €;10,92 €;19%;12,99 €;10,92 €;2,07 €;12,99 €;04.07.2018;06.07.2018;000185
Labs;Quentin;71543;Bohrauer Pfad;98;Wüstenrot;1; -   € ; -   € ; -   € ;6,99 €;5,87 €;19%;6,99 €;5,87 €;1,12 €;6,99 €;05.07.2018;07.07.2018;000186
Back;Beat;72379;Büchnerweg;1;Hechingen;1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;06.07.2018;08.07.2018;000187
Iglesias;Radi;72160;Wünschelburger Gang;14;Horb am Neckar;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;07.07.2018;09.07.2018;000188
Bachofer;Ake;72355;Genossenschaftsstraße;26;Schömberg (Zollernalbkreis);1;7,56 €;9,00 €;9,00 €;29,99 €;25,20 €;19%;29,99 €;25,20 €;4,79 €;38,99 €;08.07.2018;10.07.2018;000189
Packheiser;Jakob;72221;Kiehnwerderallee;3;Haiterbach;1;2,00 €;2,38 €;2,38 €;359,99 €;302,51 €;19%;359,99 €;302,51 €;57,48 €;362,37 €;09.07.2018;11.07.2018;000190
Oberhammer;Lucy;72351;Anna-Seghers-Straße;27;Geislingen (Zollernalbkreis);1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;10.07.2018;12.07.2018;000191
Kabaca;Alba;72664;Bernstadter Weg;24;Kohlberg (Württemberg);1;7,56 €;9,00 €;9,00 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;12,99 €;11.07.2018;13.07.2018;000192
Cagan;Daniel;72514;Köpenicker Straße;25;Inzigkofen;2;2,10 €;2,50 €;2,50 €;169,99 €;142,85 €;19%;339,98 €;285,70 €;54,28 €;342,48 €;12.07.2018;14.07.2018;000193
Obermeyer;Mae;72510;Rosenweg;14;Stetten am kalten Markt;1; -   € ; -   € ; -   € ;499,99 €;420,16 €;19%;499,99 €;420,16 €;79,83 €;499,99 €;13.07.2018;15.07.2018;000194
Quadflieg;Lutz;72513;Lohnauer Steig;2;Hettingen;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;14.07.2018;16.07.2018;000195
Daffner;Liv;71126;Anna-Seghers-Straße;48;Gäufelden;2;1,70 €;2,02 €;2,02 €;99,99 €;84,03 €;19%;199,98 €;168,05 €;31,93 €;202,00 €;15.07.2018;17.07.2018;000196
Gadinger;Lennard;72513;Hoffmannstraße;8;Hettingen;1;1,40 €;1,67 €;1,67 €;0,99 €;0,83 €;19%;0,99 €;0,83 €;0,16 €;2,66 €;16.07.2018;18.07.2018;000197
Obernberger;Fynn;72514;Steinbachstraße;9;Inzigkofen;1; -   € ; -   € ; -   € ;89,99 €;75,62 €;19%;89,99 €;75,62 €;14,37 €;89,99 €;17.07.2018;19.07.2018;000198
Jäggi;Romy;72539;Friedenstraße;2;Pfronstetten;1;1,33 €;1,58 €;1,58 €;159,99 €;134,45 €;19%;159,99 €;134,45 €;25,54 €;161,57 €;18.07.2018;20.07.2018;000199
Obermoser;Falko;72511;Schneckenburgerstraße;4;Bingen bei Sigmaringen;2; -   € ; -   € ; -   € ;149,99 €;126,04 €;19%;299,98 €;252,08 €;47,90 €;299,98 €;19.07.2018;21.07.2018;000200
Saage;Matthis;72531;Eigenheimgasse;14;Hohenstein (Württemberg);2;1,22 €;1,45 €;1,45 €;359,99 €;302,51 €;19%;719,98 €;605,03 €;114,95 €;721,43 €;20.07.2018;22.07.2018;000201
Habedank;Saara;69231;Aprikosensteig;6;Rauenberg;1; -   € ; -   € ; -   € ;169,99 €;142,85 €;19%;169,99 €;142,85 €;27,14 €;169,99 €;21.07.2018;23.07.2018;000202
Machemer;Floris;72479;Carl-Scheele-Straße;1;Straßberg;1;1,69 €;2,01 €;2,01 €;359,99 €;302,51 €;19%;359,99 €;302,51 €;57,48 €;362,00 €;22.07.2018;24.07.2018;000203
Labude;Anton;71560;Gellertstraße;27;Sulzbach an der Murr;1;7,56 €;9,00 €;9,00 €;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;28,99 €;23.07.2018;25.07.2018;000204
Oberdieck;Kathrin;72213;Neltestraße;6;Altensteig;1;1,78 €;2,12 €;2,12 €;79,99 €;67,22 €;19%;79,99 €;67,22 €;12,77 €;82,11 €;24.07.2018;26.07.2018;000205
Abas;Luise;68753;Friedenstraße;6;Waghäusel;1; -   € ; -   € ; -   € ;0,99 €;0,83 €;19%;0,99 €;0,83 €;0,16 €;0,99 €;25.07.2018;27.07.2018;000206
Labsch;Paul;71546;Bärdorfer Zeile;65;Aspach bei Backnang;2; -   € ; -   € ; -   € ;5,99 €;5,03 €;19%;11,98 €;10,07 €;1,91 €;11,98 €;26.07.2018;28.07.2018;000207
Jackl;Ulas;72369;Dornbrunner Straße;51;Zimmern unter der Burg;1; -   € ; -   € ; -   € ;4,69 €;3,94 €;19%;4,69 €;3,94 €;0,75 €;4,69 €;27.07.2018;29.07.2018;000208
Jachtmann;Tizian;72351;Wilhelm-Ostwald-Straße;5;Geislingen (Zollernalbkreis);1;1,24 €;1,48 €;1,48 €;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;3,47 €;28.07.2018;30.07.2018;000209
Saager;Mattes;72532;Freystadter Weg;12;Gomadingen;1;1,01 €;1,20 €;1,20 €;89,99 €;75,62 €;19%;89,99 €;75,62 €;14,37 €;91,19 €;29.07.2018;31.07.2018;000210
Oberbauer;Jutta;72810;Hackenbergstraße;1;Gomaringen;1; -   € ; -   € ; -   € ;149,99 €;126,04 €;19%;149,99 €;126,04 €;23,95 €;149,99 €;30.07.2018;01.08.2018;000211
Macedo;Ethan;72361;Dörpfeldstraße;6;Hausen am Tann;1;3,00 €;3,57 €;3,57 €;12,99 €;10,92 €;19%;12,99 €;10,92 €;2,07 €;16,56 €;31.07.2018;02.08.2018;000212
Haase;Ronina;68782;Silberberger Straße;65;Brühl (Baden);1;1,50 €;1,79 €;1,79 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;4,78 €;01.08.2018;03.08.2018;000213
Gaebel;Lion;72519;Altheider Straße;7;Veringenstadt;2;5,99 €;7,13 €;7,13 €;3,99 €;3,35 €;19%;7,98 €;6,71 €;1,27 €;15,11 €;02.08.2018;04.08.2018;000214
Bachor;Ari;72358;Hauptweg;23;Dormettingen;1;2,40 €;2,86 €;2,86 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;5,85 €;03.08.2018;05.08.2018;000215
Idczak;Obbo;71691;Freystadter Weg;8;Freiberg am Neckar;1;1,99 €;2,37 €;2,37 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;5,36 €;04.08.2018;06.08.2018;000216
Haars;Rabea;68753;Richard-Willstätter-Straße;8;Waghäusel;2;7,56 €;9,00 €;9,00 €;3,99 €;3,35 €;19%;7,98 €;6,71 €;1,27 €;16,98 €;05.08.2018;07.08.2018;000217
Ebbighausen;Laura;71229;Hollstraße;25;Leonberg (Württemberg);1; -   € ; -   € ; -   € ;199,99 €;168,06 €;19%;199,99 €;168,06 €;31,93 €;199,99 €;06.08.2018;08.08.2018;000218
Caiazzo;Dewis;72539;KGA Am Teltowkanal III;2;Pfronstetten;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;07.08.2018;09.08.2018;000219
Ebenberger;Marlene;71384;Köpenicker Straße;1;Weinstadt;1;4,99 €;5,94 €;5,94 €;3,59 €;3,02 €;19%;3,59 €;3,02 €;0,57 €;9,53 €;08.08.2018;10.08.2018;000220
Oberdörster;Kiki;72221;Florian-Geyer-Straße;65;Haiterbach;1;2,10 €;2,50 €;2,50 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;6,49 €;09.08.2018;11.08.2018;000221
Kacan;Benita;69168;Selchowstraße;27;Wiesloch;1;1,70 €;2,02 €;2,02 €;9,99 €;8,39 €;19%;9,99 €;8,39 €;1,60 €;12,01 €;10.08.2018;12.08.2018;000222
Haack;Nova;72649;Helbigstraße;48;Wolfschlugen;1; -   € ; -   € ; -   € ;79,99 €;67,22 €;19%;79,99 €;67,22 €;12,77 €;79,99 €;11.08.2018;13.08.2018;000223
Pacheco;Hanno;72649;Zinsgutstraße;9;Wolfschlugen;1;1,35 €;1,61 €;1,61 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;4,60 €;12.08.2018;14.08.2018;000224
Macchia;Erik;72356;Vogelbeerstraße;2;Dautmergen;1;1,99 €;2,37 €;2,37 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;5,36 €;13.08.2018;15.08.2018;000225
Pachl;Hagar;72658;Erich-Thilo-Straße;65;Bempflingen;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;14.08.2018;16.08.2018;000226
Oberhofer;Leni;72361;Friedlander Straße;8;Hausen am Tann;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;15.08.2018;17.08.2018;000227
Abdallah;Flora;69226;Husstraße;98;Nußloch;1; -   € ; -   € ; -   € ;29,99 €;25,20 €;19%;29,99 €;25,20 €;4,79 €;29,99 €;16.08.2018;18.08.2018;000228
Oberender;Kim;72250;Hauptweg;28;Freudenstadt;1;1,54 €;1,83 €;1,83 €;9,99 €;8,39 €;19%;9,99 €;8,39 €;1,60 €;11,82 €;17.08.2018;19.08.2018;000229
Habbel;Sila;69214;Barbara-McClintock-Straße;26;Eppelheim;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;18.08.2018;20.08.2018;000230
Haacke;Nika;72654;Hollstraße;9;Neckartenzlingen;1;2,00 €;2,38 €;2,38 €;99,99 €;84,03 €;19%;99,99 €;84,03 €;15,96 €;102,37 €;19.08.2018;21.08.2018;000231
Laborenz;Liam;71522;Adlergestell;28;Backnang;3; -   € ; -   € ; -   € ;12,99 €;10,92 €;19%;38,97 €;32,75 €;6,22 €;38,97 €;20.08.2018;22.08.2018;000232
Däppen;Kiara;69493;Florian-Geyer-Straße;2;Hirschberg an der Bergstraße;1; -   € ; -   € ; -   € ;119,99 €;100,83 €;19%;119,99 €;100,83 €;19,16 €;119,99 €;21.08.2018;23.08.2018;000233
Dado;Josephine;69221;Heidekampweg;5;Dossenheim;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;22.08.2018;24.08.2018;000234
Ebrahimi;Harry;72181;Chris-Gueffroy-Allee;25;Starzach;1;7,56 €;9,00 €;9,00 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;11,99 €;23.08.2018;25.08.2018;000235
Idrizaj;Peter;71735;Nipkowstraße;3;Eberdingen;1;7,56 €;9,00 €;9,00 €;32,99 €;27,72 €;19%;32,99 €;27,72 €;5,27 €;41,99 €;24.08.2018;26.08.2018;000236
Labuske;Adam;71577;Husstraße;8;Großerlach;2;1,01 €;1,20 €;1,20 €;59,99 €;50,41 €;19%;119,98 €;100,82 €;19,16 €;121,18 €;25.08.2018;27.08.2018;000237
Icöz;Owen;71686;Eigenheimgasse;6;Remseck am Neckar;1;1,99 €;2,37 €;2,37 €;16,99 €;14,28 €;19%;16,99 €;14,28 €;2,71 €;19,36 €;26.08.2018;28.08.2018;000238
Daeuber;Judith;71088;Hackenbergstraße;84;Holzgerlingen;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;27.08.2018;29.08.2018;000239
Paas;Günter;72535;Justus-von-Liebig-Straße;12;Heroldstatt;1; -   € ; -   € ; -   € ;39,99 €;33,61 €;19%;39,99 €;33,61 €;6,38 €;39,99 €;28.08.2018;30.08.2018;000240
Kadel;Delia;69434;Thelenstraße;95;Heddesbach;1;3,99 €;4,75 €;4,75 €;60,99 €;51,25 €;19%;60,99 €;51,25 €;9,74 €;65,74 €;29.08.2018;31.08.2018;000241
Quadbeck;Lion;72510;Hoffmannstraße;26;Stetten am kalten Markt;1; -   € ; -   € ; -   € ;59,99 €;50,41 €;19%;59,99 €;50,41 €;9,58 €;59,99 €;30.08.2018;01.09.2018;000242
Packert;Jan;72218;KGA Holunderbusch;1;Wildberg (Schwarzwald);2;1,00 €;1,19 €;1,19 €;149,99 €;126,04 €;19%;299,98 €;252,08 €;47,90 €;301,17 €;31.08.2018;02.09.2018;000243
Ibishi;Zamira;71292;Friedenstraße;4;Friolzheim;1; -   € ; -   € ; -   € ;59,99 €;50,41 €;19%;59,99 €;50,41 €;9,58 €;59,99 €;01.09.2018;03.09.2018;000244
Bacic;Baldur;72367;Anna-Seghers-Straße;4;Weilen unter den Rinnen;1; -   € ; -   € ; -   € ;0,99 €;0,83 €;19%;0,99 €;0,83 €;0,16 €;0,99 €;02.09.2018;04.09.2018;000245
Aberer;Andrea;71144;Selchowstraße;48;Steinenbronn;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;03.09.2018;05.09.2018;000246
Labudda;Alexander;71554;Friedenstraße;5;Weissach im Tal;1;2,99 €;3,56 €;3,56 €;119,99 €;100,83 €;19%;119,99 €;100,83 €;19,16 €;123,55 €;04.09.2018;06.09.2018;000247
Ibric;Nika;71409;Altheider Straße;65;Schwaikheim;1; -   € ; -   € ; -   € ;89,99 €;75,62 €;19%;89,99 €;75,62 €;14,37 €;89,99 €;05.09.2018;07.09.2018;000248
Haaf;Oda;72657;Moissistraße;62;Altenriet;1;1,69 €;2,01 €;2,01 €;149,99 €;126,04 €;19%;149,99 €;126,04 €;23,95 €;152,00 €;06.09.2018;08.09.2018;000249
Dähnert;Jonna;69256;Friedenstraße;7;Mauer (Baden);1; -   € ; -   € ; -   € ;4,69 €;3,94 €;19%;4,69 €;3,94 €;0,75 €;4,69 €;07.09.2018;09.09.2018;000250
Calcagno;Fabrizia;72669;Magnusstraße;2;Unterensingen;1; -   € ; -   € ; -   € ;12,99 €;10,92 €;19%;12,99 €;10,92 €;2,07 €;12,99 €;08.09.2018;10.09.2018;000251
Oberauer;Justyna;72805;Genossenschaftsstraße;8;Lichtenstein (Württemberg);1; -   € ; -   € ; -   € ;499,99 €;420,16 €;19%;499,99 €;420,16 €;79,83 €;499,99 €;09.09.2018;11.09.2018;000252
Oberkofler;Luna;72379;Köpenicker Straße;9;Hechingen;1;5,99 €;7,13 €;7,13 €;12,99 €;10,92 €;19%;12,99 €;10,92 €;2,07 €;20,12 €;10.09.2018;12.09.2018;000253
Baacke;Bentje;71272;Justus-von-Liebig-Straße;12;Renningen;1; -   € ; -   € ; -   € ;5,99 €;5,03 €;19%;5,99 €;5,03 €;0,96 €;5,99 €;11.09.2018;13.09.2018;000254
