Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Bestell_Datum,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Fabrizia,Calcagno,Magnusstraße,2,72669,Unterensingen,Germany,24 August 2019,27 August 2019,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Justyna,Oberauer,Genossenschaftsstraße,8,72805,Lichtenstein (Württemberg),Germany,25 August 2019,28 August 2019,1,0.0,0.0,0.0,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Luna,Oberkofler,Köpenicker Straße,9,72379,Hechingen,Germany,26 August 2019,29 August 2019,1,5.99,7.1281,7.1281,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Bentje,Baacke,Justus-von-Liebig-Straße,12,71272,Renningen,Germany,27 August 2019,30 August 2019,1,0.0,0.0,0.0,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Maxim,Saal,Glienicker Weg,17,72537,Mehrstetten,Germany,28 August 2019,31 August 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Andreas,Lacher,Genossenschaftsstraße,2,71711,Murr,Germany,29 August 2019,01 September 2019,2,0.0,0.0,0.0,149.99,126.0420168067227,0.19,299.98,252.0840336134454,47.89596638655462
Kristian,Päckert,Bohrauer Pfad,25,72367,Weilen unter den Rinnen,Germany,30 August 2019,02 September 2019,1,1.69,2.0111,2.0111,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Bastian,Caballero,Handjerystraße,51,72415,Grosselfingen,Germany,31 August 2019,03 September 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Jean,Ober,Bärdorfer Zeile,84,72667,Schlaitdorf,Germany,01 September 2019,04 September 2019,2,0.0,0.0,0.0,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Theodor,Jablonski,Silberberger Straße,12,72226,Simmersfeld,Germany,02 September 2019,05 September 2019,2,0.0,0.0,0.0,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
Fynn,Eberherr,Vogelbeerstraße,28,71563,Affalterbach,Germany,03 September 2019,06 September 2019,1,0.0,0.0,0.0,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Caecilia,Baam,Rudower Chaussee,84,71364,Winnenden,Germany,04 September 2019,07 September 2019,4,1.35,1.6065,1.6065,59.99,50.41176470588236,0.19,239.96,201.64705882352945,38.31294117647059
Christiane,Baak,Ernst-Lau-Straße,26,71287,Weissach,Germany,05 September 2019,08 September 2019,1,1.7,2.023,2.023,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Gwen,Machinek,Agavensteig,1,72514,Inzigkofen,Germany,06 September 2019,09 September 2019,2,0.0,0.0,0.0,199.99,168.05882352941177,0.19,399.98,336.11764705882354,63.86235294117648
Berit,Baack,Albert-Einstein-Straße,61,71263,Weil der Stadt,Germany,07 September 2019,10 September 2019,1,0.0,0.0,0.0,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Anette,Abdullah,Moissistraße,2,69437,Neckargerach,Germany,08 September 2019,11 September 2019,1,2.99,3.5581000000000005,3.5581000000000005,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Klara,Oberbichler,Husstraße,9,72820,Sonnenbühl,Germany,09 September 2019,12 September 2019,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Dag,Cagla,Otto-Franke-Straße,1,72525,Münsingen (Württemberg),Germany,10 September 2019,13 September 2019,2,1.35,1.6065,1.6065,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Eliot,Cakici,Ernst-Lau-Straße,1,72631,Aichtal,Germany,11 September 2019,14 September 2019,1,3.99,4.7481,4.7481,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Heike,Dabow,Felsenfest,8,68723,Plankstadt,Germany,12 September 2019,15 September 2019,1,6.43,7.6517,7.6517,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Miriam,Ebensperger,Radickestraße,6,71522,Backnang,Germany,13 September 2019,16 September 2019,1,2.0,2.38,2.38,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Dario,Maaß,Köpenicker Straße,26,72224,Ebhausen,Germany,14 September 2019,17 September 2019,3,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,5.97,5.016806722689076,0.9531932773109242
Bamika,Kache,KGA Am Teltowkanal III,25,69190,Walldorf (Baden),Germany,15 September 2019,18 September 2019,1,2.33,2.7727,2.7727,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Henri,Ebertz,Thelenstraße,9,71732,Tamm,Germany,16 September 2019,19 September 2019,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Caren,Baalmann,Richard-Willstätter-Straße,6,71299,Wimsheim,Germany,17 September 2019,20 September 2019,1,1.24,1.4756,1.4756,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Jari,Padgett,Glanzstraße,45,72348,Rosenfeld,Germany,18 September 2019,21 September 2019,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Yunus,Jacquet,Heidekampweg,7,72514,Inzigkofen,Germany,19 September 2019,22 September 2019,1,1.99,2.3681,2.3681,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Dieter,Maatz,Radickestraße,84,72296,Schopfloch (Schwarzwald),Germany,20 September 2019,23 September 2019,1,3.0,3.5700000000000003,3.5700000000000003,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Kadmos,Päffgen,Florian-Geyer-Straße,4,72379,Hechingen,Germany,21 September 2019,24 September 2019,2,1.54,1.8326,1.8326,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Lena,Oberhaus,Büchnerweg,25,72356,Dautmergen,Germany,22 September 2019,25 September 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Edda,Abdalla,Hoffmannstraße,9,69221,Dossenheim,Germany,23 September 2019,26 September 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Freya,Baberowski,Dornbrunner Straße,29,71691,Freiberg am Neckar,Germany,24 September 2019,27 September 2019,2,1.0,1.19,1.19,1.99,1.6722689075630253,0.19,3.98,3.3445378151260505,0.6354621848739495
Jona,Pacyna,Bodelschwinghstraße,9,72229,Rohrdorf (Kreis Calw),Germany,25 September 2019,28 September 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Louisa,Oberhäuser,Altheider Straße,5,72348,Rosenfeld,Germany,26 September 2019,29 September 2019,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Juna,Oancea,Eschenbachstraße,26,72639,Neuffen,Germany,27 September 2019,30 September 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Hanna,Dabrowska,Frauenlobstraße,1,68723,Schwetzingen,Germany,28 September 2019,01 October 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Lena,Ebadi,Friedlander Straße,26,71149,Bondorf,Germany,29 September 2019,02 October 2019,1,1.35,1.6065,1.6065,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Tardis,Habelt,Felsenfest,9,69254,Malsch bei Wiesloch,Germany,30 September 2019,03 October 2019,2,0.0,0.0,0.0,359.99,302.51260504201684,0.19,719.98,605.0252100840337,114.95478991596632
Coco,Baars,Silberberger Straße,6,71394,Kernen im Remstal,Germany,01 October 2019,04 October 2019,1,1.65,1.9635,1.9635,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Karl,Labidi,Hohenbirker Weg,9,71394,Kernen im Remstal,Germany,02 October 2019,05 October 2019,1,1.99,2.3681,2.3681,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Fabio,Calabria,Thelenstraße,9,72660,Beuren bei Nürtingen,Germany,03 October 2019,06 October 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Badi,Backert,Gemeinschaftsstraße,8,72411,Bodelshausen,Germany,04 October 2019,07 October 2019,2,0.0,0.0,0.0,6.39,5.369747899159663,0.19,12.78,10.739495798319329,2.0405042016806725
Catherina,Kaczor,Abram-Joffe-Straße,9,69245,Bammental,Germany,05 October 2019,08 October 2019,2,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Coco,Kadar,Richard-Willstätter-Straße,6,69256,Mauer (Baden),Germany,06 October 2019,09 October 2019,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Arzu,Abendroth,Rosenweg,14,71134,Aidlingen,Germany,07 October 2019,10 October 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Odett,Haagen,Radickestraße,2,72663,Großbettlingen,Germany,08 October 2019,11 October 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Benedikt,Baciu,Bernstadter Weg,8,72369,Zimmern unter der Burg,Germany,09 October 2019,12 October 2019,2,0.0,0.0,0.0,3.59,3.016806722689076,0.19,7.18,6.033613445378151,1.1463865546218486
Felix,Labe,Eschenbachstraße,9,71296,Heimsheim,Germany,10 October 2019,13 October 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Jörn,Pader,Forsthausallee,6,72336,Balingen,Germany,11 October 2019,14 October 2019,5,0.0,0.0,0.0,39.99,33.60504201680673,0.19,199.95,168.02521008403363,31.924789915966382
Aglaia,Abdul,Glienicker Weg,3,69259,Wilhelmsfeld,Germany,12 October 2019,15 October 2019,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Kylan,Paech,Arndtstraße,14,72365,Ratshausen,Germany,13 October 2019,16 October 2019,1,1.0,1.19,1.19,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Annabelle,Abdulaziz,Helbigstraße,7,69429,Waldbrunn (Odenwald),Germany,14 October 2019,17 October 2019,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Harun,Pachtmann,Bergaustraße,98,72669,Unterensingen,Germany,15 October 2019,18 October 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Klara,Dänzer,Bärdorfer Zeile,9,69469,Weinheim (Bergstraße),Germany,16 October 2019,19 October 2019,1,0.0,0.0,0.0,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Fabiola,Calandra,Carl-Scheele-Straße,15,72667,Schlaitdorf,Germany,17 October 2019,20 October 2019,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Giulio,Eberth,Silberberger Straße,7,71726,Benningen am Neckar,Germany,18 October 2019,21 October 2019,2,0.0,0.0,0.0,149.99,126.0420168067227,0.19,299.98,252.0840336134454,47.89596638655462
Kadmos,Gabrysch,Hackenbergstraße,64,72415,Grosselfingen,Germany,19 October 2019,22 October 2019,3,1.54,1.8326,1.8326,19.99,16.798319327731093,0.19,59.97,50.39495798319328,9.57504201680672
Ira,Dacic,Dammweg,64,69151,Neckargemünd,Germany,20 October 2019,23 October 2019,1,1.99,2.3681,2.3681,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Gabriel,Paape,Wünschelburger Gang,15,72531,Hohenstein (Württemberg),Germany,21 October 2019,24 October 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Johannes,Bachleitner,Genossenschaftsstraße,9,72224,Ebhausen,Germany,22 October 2019,25 October 2019,1,1.99,2.3681,2.3681,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Janis,Daemen,Genossenschaftsstraße,9,69259,Wilhelmsfeld,Germany,23 October 2019,26 October 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Wandy,Ibach,Bohrauer Pfad,15,71139,Ehningen,Germany,24 October 2019,27 October 2019,1,3.99,4.7481,4.7481,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Jari,Gable,Hohenbirker Weg,4,72361,Hausen am Tann,Germany,25 October 2019,28 October 2019,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Tim,Bachem,Königsheideweg,1,72178,Waldachtal,Germany,26 October 2019,29 October 2019,1,6.43,7.6517,7.6517,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Doerte,Babacan,Erich-Thilo-Straße,65,71560,Sulzbach an der Murr,Germany,27 October 2019,30 October 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Doerte,Kaderabek,Carl-Scheele-Straße,14,69493,Hirschberg an der Bergstraße,Germany,28 October 2019,31 October 2019,1,1.0,1.19,1.19,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Leo,Quaas,Friedenstraße,24,72477,Schwenningen (Heuberg),Germany,29 October 2019,01 November 2019,5,1.99,2.3681,2.3681,19.99,16.798319327731093,0.19,99.95,83.99159663865545,15.958403361344535
Carla,Jaehner,Husstraße,36,72585,Riederich,Germany,30 October 2019,02 November 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Grit,Machill,Am Adlergestell,2,72513,Hettingen,Germany,31 October 2019,03 November 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Blanka,Aberle,KGA Am Teltowkanal III,58,71154,Nufringen,Germany,01 November 2019,04 November 2019,1,0.0,0.0,0.0,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Mark,Ibold,Genossenschaftsstraße,1,71297,Mönsheim,Germany,02 November 2019,05 November 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Ida,Machon,Heidemühler Weg,36,72574,Bad Urach,Germany,03 November 2019,06 November 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Vinzent,Jackowski,Felsenfest,5,72401,Haigerloch,Germany,04 November 2019,07 November 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Eliah,Mace,Wünschelburger Gang,8,72359,Dotternhausen,Germany,05 November 2019,08 November 2019,1,2.0,2.38,2.38,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Lisa,Oberhuber,Hollstraße,8,72369,Zimmern unter der Burg,Germany,06 November 2019,09 November 2019,1,4.99,5.9381,5.9381,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Giulio,Pabst,Richard-Willstätter-Straße,6,72584,Hülben,Germany,07 November 2019,10 November 2019,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Amelie,Abanoz,Florian-Geyer-Straße,5,68723,Schwetzingen,Germany,08 November 2019,11 November 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Vanessa,Iannone,Abtstraße,62,71126,Gäufelden,Germany,09 November 2019,12 November 2019,1,3.0,3.5700000000000003,3.5700000000000003,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Isabell,Dachsel,Kiehnwerderallee,6,68789,Sankt Leon-Rot,Germany,10 November 2019,13 November 2019,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
David,Laaß,Kiehnwerderallee,84,71229,Leonberg (Württemberg),Germany,11 November 2019,14 November 2019,1,1.69,2.0111,2.0111,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Edwin,Cakal,Albert-Einstein-Straße,9,72585,Riederich,Germany,12 November 2019,15 November 2019,2,0.0,0.0,0.0,39.99,33.60504201680673,0.19,79.98,67.21008403361346,12.769915966386549
Theo,Jablonska,Seidenbaustraße,61,72224,Ebhausen,Germany,13 November 2019,16 November 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Mara,Obermaier,Hollstraße,95,72474,Winterlingen,Germany,14 November 2019,17 November 2019,1,7.56,8.9964,8.9964,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Delia,Baasner,Weerthstraße,2,71540,Murrhardt,Germany,15 November 2019,18 November 2019,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Fabienne,Laakmann,KGA Einigkeit II,12,71134,Aidlingen,Germany,16 November 2019,19 November 2019,1,2.55,3.0345,3.0345,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Miro,Ibraim,Lohnauer Steig,6,71397,Leutenbach (Württemberg),Germany,17 November 2019,20 November 2019,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Ella,Aatz,Adlergestell,23,68542,Heddesheim,Germany,18 November 2019,21 November 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Emil,Macar,Thomas-Müntzer-Straße,3,72355,Schömberg (Zollernalbkreis),Germany,19 November 2019,22 November 2019,1,2.99,3.5581000000000005,3.5581000000000005,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Xanthe,Iber,Hauptweg,1,71229,Leonberg (Württemberg),Germany,20 November 2019,23 November 2019,1,3.0,3.5700000000000003,3.5700000000000003,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Fatih,Obermüller,Selchowstraße,48,72513,Hettingen,Germany,21 November 2019,24 November 2019,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
René,Iffland,Schneckenburgerstraße,2,72135,Dettenhausen,Germany,22 November 2019,25 November 2019,1,1.22,1.4518,1.4518,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Morris,Ibrahimi,Hoffmannstraße,9,71384,Weinstadt,Germany,23 November 2019,26 November 2019,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Paris,Haan,Wassermannstraße,25,72810,Gomaringen,Germany,24 November 2019,27 November 2019,1,1.99,2.3681,2.3681,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Catrin,Oberdörfer,Bärdorfer Zeile,51,72218,Wildberg (Schwarzwald),Germany,25 November 2019,28 November 2019,3,1.7,2.023,2.023,19.99,16.798319327731093,0.19,59.97,50.39495798319328,9.57504201680672
Fiona,Machau,Silberberger Straße,5,72415,Grosselfingen,Germany,26 November 2019,29 November 2019,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Edwin,MacDonald,Wassermannstraße,9,72358,Dormettingen,Germany,27 November 2019,30 November 2019,1,1.0,1.19,1.19,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Ben,Laarmann,Gondeker Straße,1,71154,Nufringen,Germany,28 November 2019,01 December 2019,2,0.0,0.0,0.0,199.99,168.05882352941177,0.19,399.98,336.11764705882354,63.86235294117648
Jardis,Oakley,Eichbuschallee,62,72631,Aichtal,Germany,29 November 2019,02 December 2019,1,1.22,1.4518,1.4518,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Paul,Iden,Handjerystraße,7,71711,Steinheim an der Murr,Germany,30 November 2019,03 December 2019,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Beat,Lachnit,Altheider Straße,2,71735,Eberdingen,Germany,01 December 2019,04 December 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Tima,Haberberger,KGA Holunderbusch,6,69429,Waldbrunn (Odenwald),Germany,02 December 2019,05 December 2019,1,2.1,2.499,2.499,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Jen,Oberascher,Gellertstraße,4,72800,Eningen unter Achalm,Germany,03 December 2019,06 December 2019,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Henrik,Pachale,Thelenstraße,8,72631,Aichtal,Germany,04 December 2019,07 December 2019,1,2.1,2.499,2.499,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Jasmin,Obendorf,Abtstraße,1,72661,Grafenberg,Germany,05 December 2019,08 December 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Amelie,Jaede,Arndtstraße,3,72532,Gomadingen,Germany,06 December 2019,09 December 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Eliah,Cakan,Justus-von-Liebig-Straße,2,72587,Römerstein,Germany,07 December 2019,10 December 2019,1,3.0,3.5700000000000003,3.5700000000000003,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Emil,Cajic,Wünschelburger Gang,6,72582,Grabenstetten,Germany,08 December 2019,11 December 2019,1,0.0,0.0,0.0,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Gabrielle,Dabels,Aprikosensteig,23,72820,Sonnenbühl,Germany,09 December 2019,12 December 2019,2,0.0,0.0,0.0,29.99,25.201680672268907,0.19,59.98,50.40336134453781,9.576638655462183
Igor,Pacino,Frauenlobstraße,25,72818,Trochtelfingen,Germany,10 December 2019,13 December 2019,1,4.99,5.9381,5.9381,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Jannik,Gabele,Eichbuschallee,1,72336,Balingen,Germany,11 December 2019,14 December 2019,1,0.0,0.0,0.0,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Elisabeth,Jähnichen,Neltestraße,25,72589,Westerheim (Württemberg),Germany,12 December 2019,15 December 2019,2,0.0,0.0,0.0,32.99,27.722689075630257,0.19,65.98,55.44537815126051,10.53462184873949
Haima,Machoczek,Felsenfest,95,72535,Heroldstatt,Germany,13 December 2019,16 December 2019,2,1.99,2.3681,2.3681,32.99,27.722689075630257,0.19,65.98,55.44537815126051,10.53462184873949
Deenah,Kaddoura,Silberberger Straße,2,69427,Mudau,Germany,14 December 2019,17 December 2019,1,1.4,1.666,1.666,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Miriam,Obermayer,Walther-Nernst-Straße,25,72479,Straßberg,Germany,15 December 2019,18 December 2019,2,1.5,1.785,1.785,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Jennifer,Oben,Heidekampweg,12,72655,Altdorf bei Nürtingen,Germany,16 December 2019,19 December 2019,1,0.0,0.0,0.0,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Aras,Labuhn,Genossenschaftsstraße,26,71563,Affalterbach,Germany,17 December 2019,20 December 2019,1,2.56,3.0464,3.0464,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Taylor,Jachmann,Zinsgutstraße,25,72299,Wörnersberg,Germany,18 December 2019,21 December 2019,2,2.1,2.499,2.499,29.99,25.201680672268907,0.19,59.98,50.40336134453781,9.576638655462183
Kilian,Paduch,Abtstraße,25,72362,Nusplingen,Germany,19 December 2019,22 December 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Kevin,Pähler,Genossenschaftsstraße,58,72406,Bisingen,Germany,20 December 2019,23 December 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Jarin,Padel,Eschenbachstraße,3,72299,Wörnersberg,Germany,21 December 2019,24 December 2019,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Klaus,Paege,Friedenstraße,48,72393,Burladingen,Germany,22 December 2019,25 December 2019,1,6.43,7.6517,7.6517,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Jannik,Padilla,Güldenhofer Ufer,9,72351,Geislingen (Zollernalbkreis),Germany,23 December 2019,26 December 2019,1,1.99,2.3681,2.3681,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Damian,Caglayan,Rosenweg,4,72532,Gomadingen,Germany,24 December 2019,27 December 2019,1,1.65,1.9635,1.9635,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Bentje,Kacmaz,Wünschelburger Gang,1,69221,Dossenheim,Germany,25 December 2019,28 December 2019,2,1.54,1.8326,1.8326,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Birte,Baade,Am Studio,25,71277,Rutesheim,Germany,26 December 2019,29 December 2019,1,0.0,0.0,0.0,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Falko,Eberhart,KGA Am Teltowkanal III,64,71554,Weissach im Tal,Germany,27 December 2019,30 December 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Ulf,Jackmuth,KGA Einigkeit II,65,72379,Hechingen,Germany,28 December 2019,31 December 2019,1,0.0,0.0,0.0,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Luca,Quade,Husstraße,15,72511,Bingen bei Sigmaringen,Germany,29 December 2019,01 January 2020,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Finn,Baccouche,Glanzstraße,45,72147,Nehren (Württemberg),Germany,30 December 2019,02 January 2020,1,2.0,2.38,2.38,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Haile,Pachmann,Barbara-McClintock-Straße,5,72661,Grafenberg,Germany,31 December 2019,03 January 2020,1,0.0,0.0,0.0,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Katharina,Jägers,Florian-Geyer-Straße,9,72537,Mehrstetten,Germany,01 January 2020,04 January 2020,1,1.69,2.0111,2.0111,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Carl,Maarouf,Friedlander Straße,15,72186,Empfingen,Germany,02 January 2020,05 January 2020,1,1.65,1.9635,1.9635,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Dorothee,Kadi,Magnusstraße,25,69502,Hemsbach (Bergstraße),Germany,03 January 2020,06 January 2020,1,2.0,2.38,2.38,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Elias,Laasch,Heidemühler Weg,25,71157,Hildrizhausen,Germany,04 January 2020,07 January 2020,1,2.0,2.38,2.38,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
