Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Produkt,Bestell_Nummer,ASIN_ID,Bestell_Datum,Rechnungs_Nummer,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Jean,Ober,Bärdorfer Zeile,84,72667,Schlaitdorf,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233825-1233825,if492jf358,01 September 2019,DE3MQ358AEUI,04 September 2019,2,0.0,0.0,0.0,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Theodor,Jablonski,Silberberger Straße,12,72226,Simmersfeld,Germany,Philipp Plein Sport Runner Sneaker ,123-1233826-1233826,if492jf359,02 September 2019,DE3MQ359AEUI,05 September 2019,2,0.0,0.0,0.0,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
Fynn,Eberherr,Vogelbeerstraße,28,71563,Affalterbach,Germany,Retro LED Lampe Schreibtischlampe,123-1233827-1233827,if492jf360,03 September 2019,DE3MQ360AEUI,06 September 2019,1,0.0,0.0,0.0,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Caecilia,Baam,Rudower Chaussee,84,71364,Winnenden,Germany,PUMA Nucleus Trainingsschuhe,123-1233828-1233828,if492jf361,04 September 2019,DE3MQ361AEUI,07 September 2019,4,1.35,1.6065,1.6065,59.99,50.41176470588236,0.19,239.96,201.64705882352945,38.31294117647059
Christiane,Baak,Ernst-Lau-Straße,26,71287,Weissach,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233829-1233829,if492jf362,05 September 2019,DE3MQ362AEUI,08 September 2019,1,1.7,2.023,2.023,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Gwen,Machinek,Agavensteig,1,72514,Inzigkofen,Germany,Rennrad Herren Gebraucht,123-1233830-1233830,if492jf363,06 September 2019,DE3MQ363AEUI,09 September 2019,2,0.0,0.0,0.0,199.99,168.05882352941177,0.19,399.98,336.11764705882354,63.86235294117648
Berit,Baack,Albert-Einstein-Straße,61,71263,Weil der Stadt,Germany,Himalaya- Salzlampe,123-1233831-1233831,if492jf364,07 September 2019,DE3MQ364AEUI,10 September 2019,1,0.0,0.0,0.0,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Anette,Abdullah,Moissistraße,2,69437,Neckargerach,Germany,Philipp Plein Sport Runner Sneaker ,123-1233832-1233832,if492jf365,08 September 2019,DE3MQ365AEUI,11 September 2019,1,2.99,3.5581000000000005,3.5581000000000005,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Klara,Oberbichler,Husstraße,9,72820,Sonnenbühl,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233833-1233833,if492jf366,09 September 2019,DE3MQ366AEUI,12 September 2019,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Dag,Cagla,Otto-Franke-Straße,1,72525,Münsingen (Württemberg),Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233834-1233834,if492jf367,10 September 2019,DE3MQ367AEUI,13 September 2019,2,1.35,1.6065,1.6065,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Eliot,Cakici,Ernst-Lau-Straße,1,72631,Aichtal,Germany,Dichtung - Plastik,123-1233835-1233835,if492jf368,11 September 2019,DE3MQ368AEUI,14 September 2019,1,3.99,4.7481,4.7481,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Heike,Dabow,Felsenfest,8,68723,Plankstadt,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233836-1233836,if492jf369,12 September 2019,DE3MQ369AEUI,15 September 2019,1,6.43,7.6517,7.6517,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Miriam,Ebensperger,Radickestraße,6,71522,Backnang,Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1233837-1233837,if492jf370,13 September 2019,DE3MQ370AEUI,16 September 2019,1,2.0,2.38,2.38,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Dario,Maaß,Köpenicker Straße,26,72224,Ebhausen,Germany,Dichtung - Plastik,123-1233838-1233838,if492jf371,14 September 2019,DE3MQ371AEUI,17 September 2019,3,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,5.97,5.016806722689076,0.9531932773109242
Bamika,Kache,KGA Am Teltowkanal III,25,69190,Walldorf (Baden),Germany,Dichtung - Plastik,123-1233839-1233839,if492jf372,15 September 2019,DE3MQ372AEUI,18 September 2019,1,2.33,2.7727,2.7727,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Henri,Ebertz,Thelenstraße,9,71732,Tamm,Germany,Nike Court Borough Mid Winter Sneaker,123-1233840-1233840,if492jf373,16 September 2019,DE3MQ373AEUI,19 September 2019,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Caren,Baalmann,Richard-Willstätter-Straße,6,71299,Wimsheim,Germany,Dichtung - Plastik,123-1233841-1233841,if492jf374,17 September 2019,DE3MQ374AEUI,20 September 2019,1,1.24,1.4756,1.4756,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Jari,Padgett,Glanzstraße,45,72348,Rosenfeld,Germany,LED Unterbauleuchte Mit Bewegungsmelder,123-1233842-1233842,if492jf375,18 September 2019,DE3MQ375AEUI,21 September 2019,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Yunus,Jacquet,Heidekampweg,7,72514,Inzigkofen,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233843-1233843,if492jf376,19 September 2019,DE3MQ376AEUI,22 September 2019,1,1.99,2.3681,2.3681,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Dieter,Maatz,Radickestraße,84,72296,Schopfloch (Schwarzwald),Germany,Flachdichtung - WC,123-1233844-1233844,if492jf377,20 September 2019,DE3MQ377AEUI,23 September 2019,1,3.0,3.5700000000000003,3.5700000000000003,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Kadmos,Päffgen,Florian-Geyer-Straße,4,72379,Hechingen,Germany,Hirsch Rentier Elch Figur,123-1233845-1233845,if492jf378,21 September 2019,DE3MQ378AEUI,24 September 2019,2,1.54,1.8326,1.8326,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Lena,Oberhaus,Büchnerweg,25,72356,Dautmergen,Germany,Rost Kerze Edelrost,123-1233846-1233846,if492jf379,22 September 2019,DE3MQ379AEUI,25 September 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Edda,Abdalla,Hoffmannstraße,9,69221,Dossenheim,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233847-1233847,if492jf380,23 September 2019,DE3MQ380AEUI,26 September 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Freya,Baberowski,Dornbrunner Straße,29,71691,Freiberg am Neckar,Germany,Dichtung - Plastik,123-1233848-1233848,if492jf381,24 September 2019,DE3MQ381AEUI,27 September 2019,2,1.0,1.19,1.19,1.99,1.6722689075630253,0.19,3.98,3.3445378151260505,0.6354621848739495
Jona,Pacyna,Bodelschwinghstraße,9,72229,Rohrdorf (Kreis Calw),Germany,Philipp Plein Sport Runner Sneaker ,123-1233849-1233849,if492jf382,25 September 2019,DE3MQ382AEUI,28 September 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Louisa,Oberhäuser,Altheider Straße,5,72348,Rosenfeld,Germany,LED Deckenleuchte Wandleuchte Fernbedienung,123-1233850-1233850,if492jf383,26 September 2019,DE3MQ383AEUI,29 September 2019,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Juna,Oancea,Eschenbachstraße,26,72639,Neuffen,Germany,Hirsch Rentier Elch Figur,123-1233851-1233851,if492jf384,27 September 2019,DE3MQ384AEUI,30 September 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Hanna,Dabrowska,Frauenlobstraße,1,68723,Schwetzingen,Germany,Philipp Plein Sport Runner Sneaker ,123-1233852-1233852,if492jf385,28 September 2019,DE3MQ385AEUI,01 October 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Lena,Ebadi,Friedlander Straße,26,71149,Bondorf,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233853-1233853,if492jf386,29 September 2019,DE3MQ386AEUI,02 October 2019,1,1.35,1.6065,1.6065,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Tardis,Habelt,Felsenfest,9,69254,Malsch bei Wiesloch,Germany,Rakete Roadster Berlin - Urban Bike,123-1233854-1233854,if492jf387,30 September 2019,DE3MQ387AEUI,03 October 2019,2,0.0,0.0,0.0,359.99,302.51260504201684,0.19,719.98,605.0252100840337,114.95478991596632
Coco,Baars,Silberberger Straße,6,71394,Kernen im Remstal,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233855-1233855,if492jf388,01 October 2019,DE3MQ388AEUI,04 October 2019,1,1.65,1.9635,1.9635,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Karl,Labidi,Hohenbirker Weg,9,71394,Kernen im Remstal,Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1233856-1233856,if492jf389,02 October 2019,DE3MQ389AEUI,05 October 2019,1,1.99,2.3681,2.3681,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Fabio,Calabria,Thelenstraße,9,72660,Beuren bei Nürtingen,Germany,Hirsch Rentier Elch Figur,123-1233857-1233857,if492jf390,03 October 2019,DE3MQ390AEUI,06 October 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Badi,Backert,Gemeinschaftsstraße,8,72411,Bodelshausen,Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1233858-1233858,if492jf391,04 October 2019,DE3MQ391AEUI,07 October 2019,2,0.0,0.0,0.0,6.39,5.369747899159663,0.19,12.78,10.739495798319329,2.0405042016806725
Catherina,Kaczor,Abram-Joffe-Straße,9,69245,Bammental,Germany,Hirsch Rentier Elch Figur,123-1233859-1233859,if492jf392,05 October 2019,DE3MQ392AEUI,08 October 2019,2,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Coco,Kadar,Richard-Willstätter-Straße,6,69256,Mauer (Baden),Germany,Tischlampe Nachttischlampe 2er Set,123-1233860-1233860,if492jf393,06 October 2019,DE3MQ393AEUI,09 October 2019,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Arzu,Abendroth,Rosenweg,14,71134,Aidlingen,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233861-1233861,if492jf394,07 October 2019,DE3MQ394AEUI,10 October 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Odett,Haagen,Radickestraße,2,72663,Großbettlingen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233862-1233862,if492jf395,08 October 2019,DE3MQ395AEUI,11 October 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Benedikt,Baciu,Bernstadter Weg,8,72369,Zimmern unter der Burg,Germany,Rost Kerze Edelrost,123-1233863-1233863,if492jf396,09 October 2019,DE3MQ396AEUI,12 October 2019,2,0.0,0.0,0.0,3.59,3.016806722689076,0.19,7.18,6.033613445378151,1.1463865546218486
Felix,Labe,Eschenbachstraße,9,71296,Heimsheim,Germany,Rost Kerze Edelrost,123-1233864-1233864,if492jf397,10 October 2019,DE3MQ397AEUI,13 October 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Jörn,Pader,Forsthausallee,6,72336,Balingen,Germany,Dimmbar LED Klemmleuchte Schreibtischlampe,123-1233865-1233865,if492jf398,11 October 2019,DE3MQ398AEUI,14 October 2019,5,0.0,0.0,0.0,39.99,33.60504201680673,0.19,199.95,168.02521008403363,31.924789915966382
Aglaia,Abdul,Glienicker Weg,3,69259,Wilhelmsfeld,Germany,"Panasonic ToughBook CF-52 i5 15,4",123-1233866-1233866,if492jf399,12 October 2019,DE3MQ399AEUI,15 October 2019,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Kylan,Paech,Arndtstraße,14,72365,Ratshausen,Germany,Rost Kerze Edelrost,123-1233867-1233867,if492jf400,13 October 2019,DE3MQ400AEUI,16 October 2019,1,1.0,1.19,1.19,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Annabelle,Abdulaziz,Helbigstraße,7,69429,Waldbrunn (Odenwald),Germany,Nike Court Borough Mid Winter Sneaker,123-1233868-1233868,if492jf401,14 October 2019,DE3MQ401AEUI,17 October 2019,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Harun,Pachtmann,Bergaustraße,98,72669,Unterensingen,Germany,Hirsch Rentier Elch Figur,123-1233869-1233869,if492jf402,15 October 2019,DE3MQ402AEUI,18 October 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Klara,Dänzer,Bärdorfer Zeile,9,69469,Weinheim (Bergstraße),Germany,Kappa Base 2 Sportschuhe Turnschuhe Sneakers,123-1233870-1233870,if492jf403,16 October 2019,DE3MQ403AEUI,19 October 2019,1,0.0,0.0,0.0,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Fabiola,Calandra,Carl-Scheele-Straße,15,72667,Schlaitdorf,Germany,Tischlampe Nachttischlampe 2er Set,123-1233871-1233871,if492jf404,17 October 2019,DE3MQ404AEUI,20 October 2019,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Giulio,Eberth,Silberberger Straße,7,71726,Benningen am Neckar,Germany,"Panasonic ToughBook CF-52 i5 15,4",123-1233872-1233872,if492jf405,18 October 2019,DE3MQ405AEUI,21 October 2019,2,0.0,0.0,0.0,149.99,126.0420168067227,0.19,299.98,252.0840336134454,47.89596638655462
Kadmos,Gabrysch,Hackenbergstraße,64,72415,Grosselfingen,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233873-1233873,if492jf406,19 October 2019,DE3MQ406AEUI,22 October 2019,3,1.54,1.8326,1.8326,19.99,16.798319327731093,0.19,59.97,50.39495798319328,9.57504201680672
Ira,Dacic,Dammweg,64,69151,Neckargemünd,Germany,Hirsch Rentier Elch Figur,123-1233874-1233874,if492jf407,20 October 2019,DE3MQ407AEUI,23 October 2019,1,1.99,2.3681,2.3681,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Gabriel,Paape,Wünschelburger Gang,15,72531,Hohenstein (Württemberg),Germany,Hirsch Rentier Elch Figur,123-1233875-1233875,if492jf408,21 October 2019,DE3MQ408AEUI,24 October 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Johannes,Bachleitner,Genossenschaftsstraße,9,72224,Ebhausen,Germany,"Panasonic ToughBook CF-52 i5 15,4",123-1233876-1233876,if492jf409,22 October 2019,DE3MQ409AEUI,25 October 2019,1,1.99,2.3681,2.3681,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Janis,Daemen,Genossenschaftsstraße,9,69259,Wilhelmsfeld,Germany,Gummi-Dichtung,123-1233877-1233877,if492jf410,23 October 2019,DE3MQ410AEUI,26 October 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Wandy,Ibach,Bohrauer Pfad,15,71139,Ehningen,Germany,Gummi-Dichtung,123-1233878-1233878,if492jf411,24 October 2019,DE3MQ411AEUI,27 October 2019,1,3.99,4.7481,4.7481,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Jari,Gable,Hohenbirker Weg,4,72361,Hausen am Tann,Germany,LENOVO ThinkPad X260 Intel Core i7 6. Gen 2,123-1233879-1233879,if492jf412,25 October 2019,DE3MQ412AEUI,28 October 2019,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Tim,Bachem,Königsheideweg,1,72178,Waldachtal,Germany,Dichtung - Plastik,123-1233880-1233880,if492jf413,26 October 2019,DE3MQ413AEUI,29 October 2019,1,6.43,7.6517,7.6517,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Doerte,Babacan,Erich-Thilo-Straße,65,71560,Sulzbach an der Murr,Germany,Philipp Plein Sport Runner Sneaker ,123-1233881-1233881,if492jf414,27 October 2019,DE3MQ414AEUI,30 October 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Doerte,Kaderabek,Carl-Scheele-Straße,14,69493,Hirschberg an der Bergstraße,Germany,Dichtung - Plastik,123-1233882-1233882,if492jf415,28 October 2019,DE3MQ415AEUI,31 October 2019,1,1.0,1.19,1.19,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Leo,Quaas,Friedenstraße,24,72477,Schwenningen (Heuberg),Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233883-1233883,if492jf416,29 October 2019,DE3MQ416AEUI,01 November 2019,5,1.99,2.3681,2.3681,19.99,16.798319327731093,0.19,99.95,83.99159663865545,15.958403361344535
Carla,Jaehner,Husstraße,36,72585,Riederich,Germany,Dichtung - Plastik,123-1233884-1233884,if492jf417,30 October 2019,DE3MQ417AEUI,02 November 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Grit,Machill,Am Adlergestell,2,72513,Hettingen,Germany,Hirsch Rentier Elch Figur,123-1233885-1233885,if492jf418,31 October 2019,DE3MQ418AEUI,03 November 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Blanka,Aberle,KGA Am Teltowkanal III,58,71154,Nufringen,Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1233886-1233886,if492jf419,01 November 2019,DE3MQ419AEUI,04 November 2019,1,0.0,0.0,0.0,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Mark,Ibold,Genossenschaftsstraße,1,71297,Mönsheim,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233887-1233887,if492jf420,02 November 2019,DE3MQ420AEUI,05 November 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Ida,Machon,Heidemühler Weg,36,72574,Bad Urach,Germany,Rost Kerze Edelrost,123-1233888-1233888,if492jf421,03 November 2019,DE3MQ421AEUI,06 November 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Vinzent,Jackowski,Felsenfest,5,72401,Haigerloch,Germany,Dichtung - Plastik,123-1233889-1233889,if492jf422,04 November 2019,DE3MQ422AEUI,07 November 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Eliah,Mace,Wünschelburger Gang,8,72359,Dotternhausen,Germany,Tischlampe Nachttischlampe 2er Set,123-1233890-1233890,if492jf423,05 November 2019,DE3MQ423AEUI,08 November 2019,1,2.0,2.38,2.38,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Lisa,Oberhuber,Hollstraße,8,72369,Zimmern unter der Burg,Germany,Tischlampe Nachttischlampe 2er Set,123-1233891-1233891,if492jf424,06 November 2019,DE3MQ424AEUI,09 November 2019,1,4.99,5.9381,5.9381,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Giulio,Pabst,Richard-Willstätter-Straße,6,72584,Hülben,Germany,LED Deckenleuchte Wandleuchte Fernbedienung,123-1233892-1233892,if492jf425,07 November 2019,DE3MQ425AEUI,10 November 2019,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Amelie,Abanoz,Florian-Geyer-Straße,5,68723,Schwetzingen,Germany,Gummi-Dichtung,123-1233893-1233893,if492jf426,08 November 2019,DE3MQ426AEUI,11 November 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Vanessa,Iannone,Abtstraße,62,71126,Gäufelden,Germany,Hirsch Rentier Elch Figur,123-1233894-1233894,if492jf427,09 November 2019,DE3MQ427AEUI,12 November 2019,1,3.0,3.5700000000000003,3.5700000000000003,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Isabell,Dachsel,Kiehnwerderallee,6,68789,Sankt Leon-Rot,Germany,Nike Court Borough Mid Winter Sneaker,123-1233895-1233895,if492jf428,10 November 2019,DE3MQ428AEUI,13 November 2019,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
David,Laaß,Kiehnwerderallee,84,71229,Leonberg (Württemberg),Germany,LED Stern Deko Boden Lampe Weihnachte,123-1233896-1233896,if492jf429,11 November 2019,DE3MQ429AEUI,14 November 2019,1,1.69,2.0111,2.0111,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Edwin,Cakal,Albert-Einstein-Straße,9,72585,Riederich,Germany,Dimmbar LED Klemmleuchte Schreibtischlampe,123-1233897-1233897,if492jf430,12 November 2019,DE3MQ430AEUI,15 November 2019,2,0.0,0.0,0.0,39.99,33.60504201680673,0.19,79.98,67.21008403361346,12.769915966386549
Theo,Jablonska,Seidenbaustraße,61,72224,Ebhausen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233898-1233898,if492jf431,13 November 2019,DE3MQ431AEUI,16 November 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Mara,Obermaier,Hollstraße,95,72474,Winterlingen,Germany,Dichtung - Plastik,123-1233899-1233899,if492jf432,14 November 2019,DE3MQ432AEUI,17 November 2019,1,7.56,8.9964,8.9964,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Delia,Baasner,Weerthstraße,2,71540,Murrhardt,Germany,"Panasonic ToughBook CF-52 i5 15,4",123-1233900-1233900,if492jf433,15 November 2019,DE3MQ433AEUI,18 November 2019,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Fabienne,Laakmann,KGA Einigkeit II,12,71134,Aidlingen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233901-1233901,if492jf434,16 November 2019,DE3MQ434AEUI,19 November 2019,1,2.55,3.0345,3.0345,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Miro,Ibraim,Lohnauer Steig,6,71397,Leutenbach (Württemberg),Germany,"Panasonic ToughBook CF-52 i5 15,4",123-1233902-1233902,if492jf435,17 November 2019,DE3MQ435AEUI,20 November 2019,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Ella,Aatz,Adlergestell,23,68542,Heddesheim,Germany,Dichtung - Plastik,123-1233903-1233903,if492jf436,18 November 2019,DE3MQ436AEUI,21 November 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Emil,Macar,Thomas-Müntzer-Straße,3,72355,Schömberg (Zollernalbkreis),Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1233904-1233904,if492jf437,19 November 2019,DE3MQ437AEUI,22 November 2019,1,2.99,3.5581000000000005,3.5581000000000005,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Xanthe,Iber,Hauptweg,1,71229,Leonberg (Württemberg),Germany,Kappa Base 2 Sportschuhe Turnschuhe Sneakers,123-1233905-1233905,if492jf438,20 November 2019,DE3MQ438AEUI,23 November 2019,1,3.0,3.5700000000000003,3.5700000000000003,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Fatih,Obermüller,Selchowstraße,48,72513,Hettingen,Germany,Rakete Roadster Berlin - Urban Bike,123-1233906-1233906,if492jf439,21 November 2019,DE3MQ439AEUI,24 November 2019,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
René,Iffland,Schneckenburgerstraße,2,72135,Dettenhausen,Germany,Retro LED Lampe Schreibtischlampe,123-1233907-1233907,if492jf440,22 November 2019,DE3MQ440AEUI,25 November 2019,1,1.22,1.4518,1.4518,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Morris,Ibrahimi,Hoffmannstraße,9,71384,Weinstadt,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233908-1233908,if492jf441,23 November 2019,DE3MQ441AEUI,26 November 2019,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Paris,Haan,Wassermannstraße,25,72810,Gomaringen,Germany,LED Stern Deko Boden Lampe Weihnachte,123-1233909-1233909,if492jf442,24 November 2019,DE3MQ442AEUI,27 November 2019,1,1.99,2.3681,2.3681,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Catrin,Oberdörfer,Bärdorfer Zeile,51,72218,Wildberg (Schwarzwald),Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233910-1233910,if492jf443,25 November 2019,DE3MQ443AEUI,28 November 2019,3,1.7,2.023,2.023,19.99,16.798319327731093,0.19,59.97,50.39495798319328,9.57504201680672
Fiona,Machau,Silberberger Straße,5,72415,Grosselfingen,Germany,LENOVO ThinkPad X260 Intel Core i7 6. Gen 2,123-1233911-1233911,if492jf444,26 November 2019,DE3MQ444AEUI,29 November 2019,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Edwin,MacDonald,Wassermannstraße,9,72358,Dormettingen,Germany,Dichtung - Plastik,123-1233912-1233912,if492jf445,27 November 2019,DE3MQ445AEUI,30 November 2019,1,1.0,1.19,1.19,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Ben,Laarmann,Gondeker Straße,1,71154,Nufringen,Germany,Rennrad Herren Gebraucht,123-1233913-1233913,if492jf446,28 November 2019,DE3MQ446AEUI,01 December 2019,2,0.0,0.0,0.0,199.99,168.05882352941177,0.19,399.98,336.11764705882354,63.86235294117648
Jardis,Oakley,Eichbuschallee,62,72631,Aichtal,Germany,Tischlampe Nachttischlampe 2er Set,123-1233914-1233914,if492jf447,29 November 2019,DE3MQ447AEUI,02 December 2019,1,1.22,1.4518,1.4518,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Paul,Iden,Handjerystraße,7,71711,Steinheim an der Murr,Germany,"Playstation, Icons Light, Nachtlicht",123-1233915-1233915,if492jf448,30 November 2019,DE3MQ448AEUI,03 December 2019,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
